State,state_code,data_viz,facebook,nba,has_nba,degree,stats_ed,region
Alabama,AL,-0.69,1.93,-0.90,no,22.3,no,South
Alaska,AK,-0.90,-0.52,-1.08,no,25.5,no,West
Arizona,AZ,-0.20,-1.18,1.23,yes,28.0,no,West
Arkansas,AR,-0.59,2.21,-1.10,no,18.8,yes,South
California,CA,1.24,-1.28,1.65,yes,31.7,yes,West
Colorado,CO,0.79,-1.33,-0.68,yes,35.5,no,West
Connecticut,CT,0.32,-0.14,0.10,no,34.5,no,Northeast
Delaware,DE,0.17,-0.34,0.03,no,26.9,no,South
District of Columbia,DC,3.56,-2.20,-0.06,yes,45.7,yes,South
Florida,FL,-0.80,0.10,0.29,yes,26.0,yes,South
Georgia,GA,0.07,-0.20,0.02,yes,27.6,no,South
Hawaii,HI,-0.76,-0.17,0.87,no,26.6,yes,West
Idaho,ID,-0.38,-0.38,-1.00,no,23.8,no,West
Illinois,IL,0.43,-0.49,1.45,yes,27.4,no,Midwest
Indiana,IN,0.37,0.36,0.51,yes,21.1,yes,Midwest
Iowa,IA,-0.34,0.73,-0.99,no,24.3,no,Midwest
Kansas,KS,-0.87,-0.64,-0.65,no,30.0,no,Midwest
Kentucky,KY,-0.90,1.39,0.07,no,21.0,no,South
Louisiana,LA,-0.67,0.49,0.38,yes,22.4,no,South
Maine,ME,-0.87,2.11,-0.59,no,24.2,no,Northeast
Maryland,MD,1.60,-0.88,0.02,no,35.2,no,South
Massachusetts,MA,2.62,-0.89,0.43,yes,36.7,no,Northeast
Michigan,MI,-0.39,0.30,0.81,yes,24.4,no,Midwest
Minnesota,MN,0.20,-0.15,-0.17,yes,32.5,no,Midwest
Mississippi,MS,-1.00,2.56,0.08,no,20.1,yes,South
Missouri,MO,-0.40,0.15,-1.46,no,28.1,no,Midwest
Montana,MT,-0.43,0.47,-1.29,no,25.5,no,West
Nebraska,NE,0.35,0.08,-1.08,no,24.8,no,Midwest
Nevada,NV,-0.86,-0.59,1.26,no,24.5,no,West
New Hampshire,NH,0.24,0.64,-0.77,no,35.4,no,Northeast
New Jersey,NJ,0.01,-0.89,0.70,yes,34.6,no,Northeast
New Mexico,NM,0.42,-0.49,-0.91,no,25.1,no,West
New York,NY,1.17,-0.76,1.06,yes,30.6,no,Northeast
North Carolina,NC,0.32,0.50,0.05,yes,23.4,yes,South
North Dakota,ND,-1.17,0.86,0.00,no,25.2,no,Midwest
Ohio,OH,-0.25,-0.03,0.99,yes,24.6,no,Midwest
Oklahoma,OK,-1.05,0.04,0.06,yes,22.9,no,South
Oregon,OR,0.96,-0.47,2.60,yes,25.9,no,West
Pennsylvania,PA,0.14,-0.40,-0.60,yes,25.3,no,Northeast
Rhode Island,RI,0.51,0.16,0.27,no,27.2,no,Northeast
South Carolina,SC,-0.96,1.35,-0.59,no,24.9,yes,South
South Dakota,SD,-1.15,-0.37,-0.44,no,25.5,no,Midwest
Tennessee,TN,-0.52,0.97,-0.57,yes,24.3,yes,South
Texas,TX,-0.08,-0.96,0.76,yes,24.5,no,South
Utah,UT,0.49,-1.16,3.45,yes,30.8,yes,West
Vermont,VT,-0.09,0.98,-1.11,no,34.2,no,Northeast
Virginia,VA,1.70,-1.28,-0.52,no,33.1,yes,South
Washington,WA,1.64,-1.34,-0.64,no,29.9,no,West
West Virginia,WV,-1.19,1.18,-0.88,no,15.3,yes,South
Wisconsin,WI,-0.62,-0.06,0.12,yes,25.6,no,Midwest
Wyoming,WY,-1.18,0.05,-1.18,no,22.5,no,West
